년/월,서울,인천,부산,대구,대전,광주,강원
2007년 7월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2007년 8월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2007년 9월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2007년 10월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2007년 11월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2007년 12월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2008년 1월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2008년 2월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2008년 3월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2008년 4월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2008년 5월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2008년 6월,"3,100","3,100","3,200","3,200","3,200","3,200","3,200"
2008년 7월,"3,200","3,200","3,300","3,300","3,300","3,300","3,300"
2008년 8월,"3,300","3,300","3,400","3,400","3,400","3,400","3,400"
2008년 9월,"3,300","3,300","3,400","3,400","3,400","3,400","3,400"
2008년 10월,"3,700","3,700","3,800","3,800","3,800","3,800","3,800"
2008년 11월,"3,700","3,700","3,800","3,800","3,800","3,800","3,800"
2008년 12월,"3,700","3,700","3,800","3,800","3,800","3,800","3,800"
2009년 1월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 2월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 3월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 4월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 5월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 6월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 7월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 8월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 9월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 10월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 11월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2009년 12월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2010년 1월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2010년 2월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2010년 3월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2010년 4월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
2010년 5월,"3,700","3,700","3,800","3,800","3,600","3,800","3,800"
