년/월,서울,부산,대구,광주,대전,제주
2007년 7월,"8,100","8,700","8,700","8,500","9,000","9,500"
2007년 8월,"8,100","8,700","8,700","8,500","9,000","9,500"
2007년 9월,"8,100","8,700","8,700","8,500","9,000","9,500"
2007년 10월,"8,100","8,700","8,700","8,500","9,000","9,500"
2007년 11월,"8,100","8,700","8,700","8,500","9,000","9,500"
2007년 12월,"8,100","8,700","8,700","8,500","9,000","9,500"
2008년 1월,"8,100","8,700","8,700","8,500","9,000","9,500"
2008년 2월,"8,100","8,700","8,700","8,500","9,000","9,500"
2008년 3월,"8,100","8,700","8,700","8,500","9,000","9,500"
2008년 4월,"9,300","10,000","10,000","9,700","10,300","10,900"
2008년 5월,"10,200","11,000","11,000","10,600","11,300","11,900"
2008년 6월,"11,220","12,100","12,100","11,660","12,430","13,090"
2008년 7월,"11,220","12,100","12,100","11,660","12,430","13,090"
2008년 8월,"11,220","12,100","12,100","11,660","12,430","13,090"
2008년 9월,"11,220","12,100","12,100","11,660","12,430","13,090"
2008년 10월,"11,220","12,100","12,100","11,660","12,430","13,090"
2008년 11월,"12,100","13,000","13,000","12,500","13,400","14,100"
2008년 12월,"12,100","13,000","13,000","12,500","13,400","14,100"
2009년 1월,"12,100","13,000","13,000","12,500","12,000","14,100"
2009년 2월,"12,100","13,000","13,000","12,500","12,000","14,100"
2009년 3월,"12,100","13,000","13,000","12,500","12,000","14,100"
2009년 4월,"12,100","13,000","13,000","12,500","12,000","14,100"
2009년 5월,"11,400","12,100","12,100","12,500","12,000","14,100"
2009년 6월,"11,400","12,100","12,100","12,500","12,000","14,100"
2009년 7월,"11,400","12,100","12,100","12,500","12,000","14,100"
2009년 8월,"11,400","12,100","12,100","12,500","12,000","14,100"
2009년 9월,"11,400","12,100","12,100","12,500","12,000","14,100"
2009년 10월,"11,400","12,100","12,100","12,500","12,000","14,100"
2009년 11월,"11,400","12,100","12,100","12,500","12,000","14,100"
2009년 12월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 1월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 2월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 3월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 4월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 5월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 6월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 7월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 8월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 9월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 10월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 11월,"11,400","12,100","12,100","12,500","12,000","14,100"
2010년 12월,"11,400","12,100","12,100","12,500","12,000","14,100"
2011년 1월,"11,400","12,100","12,100","12,500","12,000","14,100"
2011년 2월,"12,300","13,100","13,100","13,500","13,000","15,200"
2011년 3월,"12,300","13,100","13,100","13,500","13,000","15,200"
2011년 4월,"12,300","13,100","13,100","13,500","13,000","15,200"
2011년 5월,"10,800","11,600","11,600","11,900","11,400","13,400"
2011년 6월,"10,800","11,600","11,600","11,900","11,400","13,400"
2011년 7월,"10,800","11,600","11,600","11,900","11,400","13,400"
2011년 8월,"10,500","11,300","11,300","11,500","11,100","13,000"
