년/월,서울,인천,부산,대구,광주,대전,원주
2007년 7월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2007년 8월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2007년 9월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2007년 10월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2007년 11월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2007년 12월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2008년 1월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2008년 2월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2008년 3월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2008년 4월,"45,410","44,340","47,920","43,410","44,930","44,560","45,540"
2008년 5월,"48,080","48,080","47,920","52,920","47,570","48,320","53,350"
2008년 6월,"48,080","48,080","47,920","52,920","47,570","48,320","53,350"
2008년 7월,"48,080","48,080","47,920","52,920","47,570","48,320","53,350"
2008년 8월,"48,080","48,080","47,920","52,920","47,570","48,320","53,350"
2008년 9월,"48,080","48,080","49,720","52,920","47,570","48,320","53,350"
2008년 10월,"48,080","48,080","49,720","52,920","47,570","48,320","53,350"
2008년 11월,"48,080","48,080","49,720","52,920","47,570","48,320","53,350"
2008년 12월,"48,080","48,080","49,720","52,920","47,570","48,320","53,350"
2009년 1월,"48,080","48,080","49,720","52,920","47,570","48,320","53,350"
2009년 2월,"48,080","48,080","49,720","52,920","47,570","48,320","53,350"
2009년 3월,"48,080","48,080","49,720","52,920","47,570","48,320","53,350"
2009년 4월,"48,080","48,080","49,720","52,920","47,570","56,370","53,350"
2009년 5월,"48,080","48,080","49,720","52,920","47,570","56,370","53,350"
2009년 6월,"48,080","48,080","49,720","52,920","47,570","56,370","53,350"
2009년 7월,"50,220","50,220","53,910","52,920","50,210","56,910","53,350"
2009년 8월,"50,220","50,220","53,910","52,920","50,210","56,910","56,610"
2009년 9월,"50,220","50,220","53,910","52,920","50,210","56,910","56,610"
2009년 10월,"50,220","50,220","53,910","52,920","50,210","56,910","56,610"
2009년 11월,"50,220","50,220","53,910","52,920","50,210","56,910","56,610"
2009년 12월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 1월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 2월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 3월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 4월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 5월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 6월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 7월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 8월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 9월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
2010년 10월,"50,220","50,220","53,910","52,920","52,860","56,910","56,610"
